channel,subject,atlas_S7,DMNmPFC,ismPFC
BP01_sub-01,sub-01,7Networks_RH_Default_Temp_2,0,0
BP02_sub-01,sub-01,7Networks_RH_Default_Temp_1,0,0
BP03_sub-01,sub-01,7Networks_RH_Default_Temp_1,0,0
BP04_sub-01,sub-01,7Networks_RH_Limbic_TempPole_2,0,0
BP05_sub-01,sub-01,Background+FreeSurfer_Defined_Medial_Wall,0,0
BP06_sub-01,sub-01,7Networks_RH_Cont_PFCl_4,0,0
BP07_sub-01,sub-01,7Networks_RH_Cont_PFCl_4,0,0
BP08_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_1,1,1
BP09_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_1,1,1
BP10_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_1,1,1
BP11_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_1,1,1
BP12_sub-01,sub-01,7Networks_RH_Cont_PFCl_8,0,0
BP13_sub-01,sub-01,7Networks_RH_Cont_PFCl_9,0,0
BP14_sub-01,sub-01,7Networks_RH_Cont_PFCl_9,0,0
BP15_sub-01,sub-01,7Networks_RH_Cont_PFCl_9,0,0
BP16_sub-01,sub-01,7Networks_RH_SalVentAttn_FrOperIns_8,0,0
BP17_sub-01,sub-01,7Networks_RH_SalVentAttn_FrOperIns_8,0,0
BP18_sub-01,sub-01,7Networks_RH_SalVentAttn_FrOperIns_23,0,0
BP19_sub-01,sub-01,7Networks_RH_SalVentAttn_FrOperIns_23,0,0
BP20_sub-01,sub-01,7Networks_RH_SalVentAttn_FrOperIns_23,0,0
BP21_sub-01,sub-01,7Networks_RH_SalVentAttn_FrOperIns_20,0,0
BP22_sub-01,sub-01,7Networks_RH_SalVentAttn_FrOperIns_20,0,0
BP23_sub-01,sub-01,7Networks_RH_SalVentAttn_FrOperIns_20,0,0
BP24_sub-01,sub-01,7Networks_RH_SomMot_19,0,0
BP25_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_19,0,0
BP26_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_19,0,0
BP27_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_19,0,0
BP28_sub-01,sub-01,7Networks_RH_Cont_PFCmp_4,1,1
BP29_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_9,1,1
BP30_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_9,1,1
BP31_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_20,0,0
BP32_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_20,0,0
BP33_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_20,0,0
BP34_sub-01,sub-01,7Networks_RH_DorsAttn_FEF_3,0,0
BP35_sub-01,sub-01,7Networks_RH_SalVentAttn_Med_5,0,1
BP36_sub-01,sub-01,7Networks_RH_SalVentAttn_Med_5,0,0
BP37_sub-01,sub-01,7Networks_RH_SalVentAttn_Med_2,0,0
BP38_sub-01,sub-01,7Networks_RH_SalVentAttn_Med_2,0,0
BP39_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_7,1,1
BP40_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_2,1,1
BP41_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_2,1,1
BP42_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_2,0,1
BP43_sub-01,sub-01,7Networks_RH_Default_PFCdPFCm_2,1,1
BP44_sub-01,sub-01,7Networks_RH_Limbic_OFC_12,1,1
BP45_sub-01,sub-01,7Networks_RH_Limbic_OFC_12,0,1
BP46_sub-01,sub-01,7Networks_RH_Limbic_OFC_8,0,1
