feature_ACC_magic,feature_ACC_power,feature_ACC_speed,irr_magic,irr_power,irr_speed,nLearningSession
0.333333333,1,0.916666667,NaN,NaN,0.733333333,1
0.916666667,1,0.416666667,0.683333333,NaN,NaN,1
0.916666667,1,0.833333333,NaN,NaN,0.791666667,1
1,1,1,NaN,NaN,0.916666667,1
0.5,1,0.75,NaN,NaN,0.716666667,1
0.75,0.916666667,0.833333333,NaN,0.8,NaN,1
1,0.916666667,0.916666667,NaN,NaN,0.85,1
1,1,1,NaN,0.983333333,NaN,1
1,1,1,NaN,0.966666667,NaN,1
1,1,0.916666667,NaN,NaN,0.966666667,1
1,1,0.916666667,NaN,0.791666667,NaN,1
0.916666667,1,1,NaN,0.858333333,NaN,1
1,1,1,0.958333333,NaN,NaN,1
1,1,1,0.975,NaN,NaN,1
1,1,1,NaN,NaN,0.983333333,1
0.888888889,1,0.555555556,0.691666667,NaN,NaN,2
1,1,0.916666667,0.883333333,NaN,NaN,1
0.666666667,0.666666667,0.966666667,NaN,0.875,NaN,4
0.916666667,0.916666667,0.75,NaN,0.833333333,NaN,1
1,1,0.916666667,NaN,0.941666667,NaN,1
0.462962963,0.814814815,0.555555556,NaN,NaN,0.616666667,8
0.833333333,0.708333333,0.791666667,NaN,0.75,NaN,3
1,0.833333333,0.555555556,0.966666667,NaN,NaN,2
0.583333333,1,1,0.95,NaN,NaN,1
0.916666667,1,0.916666667,NaN,0.941666667,NaN,1
0.958333333,0.75,0.625,NaN,0.7,NaN,3
1,1,1,0.958333333,NaN,NaN,1
0.597222222,0.527777778,0.819444444,NaN,NaN,0.866666667,11
0.944444444,0.944444444,0.833333333,0.95,NaN,NaN,2
0.833333333,0.916666667,0.875,NaN,NaN,0.941666667,3
0.833333333,1,0.666666667,0.708333333,NaN,NaN,1
1,0.916666667,1,NaN,0.983333333,NaN,1
0.916666667,1,0.916666667,NaN,NaN,0.991666667,1
1,0.666666667,0.916666667,NaN,0.708333333,NaN,1
