ripple,channel,subject,trial,ACC,phase
0.333333333,BP79_sub-01,sub-01,1,wrong,stimulus
0,BP79_sub-01,sub-01,2,correct,stimulus
0.970873786,BP79_sub-01,sub-01,3,wrong,stimulus
0.745712155,BP79_sub-01,sub-01,4,wrong,stimulus
0.934142924,BP79_sub-01,sub-01,5,wrong,stimulus
0,BP79_sub-01,sub-01,6,correct,stimulus
0.333333333,BP79_sub-01,sub-01,7,wrong,stimulus
1.268230818,BP79_sub-01,sub-01,8,correct,stimulus
0,BP79_sub-01,sub-01,9,wrong,stimulus
0.333333333,BP79_sub-01,sub-01,10,wrong,stimulus
0,BP79_sub-01,sub-01,11,wrong,stimulus
0,BP79_sub-01,sub-01,12,wrong,stimulus
0,BP79_sub-01,sub-01,13,correct,stimulus
0.647249191,BP79_sub-01,sub-01,14,wrong,stimulus
0,BP79_sub-01,sub-01,15,wrong,stimulus
0.557103064,BP79_sub-01,sub-01,16,correct,stimulus
0,BP79_sub-01,sub-01,17,wrong,stimulus
0,BP79_sub-01,sub-01,18,wrong,stimulus
0,BP79_sub-01,sub-01,19,correct,stimulus
0,BP79_sub-01,sub-01,20,correct,stimulus
0,BP79_sub-01,sub-01,21,correct,stimulus
0.698324022,BP79_sub-01,sub-01,22,correct,stimulus
0,BP79_sub-01,sub-01,23,correct,stimulus
0,BP79_sub-01,sub-01,24,correct,stimulus
1.348617667,BP79_sub-01,sub-01,25,wrong,stimulus
0,BP79_sub-01,sub-01,26,correct,stimulus
0,BP79_sub-01,sub-01,27,correct,stimulus
0.884955752,BP79_sub-01,sub-01,28,correct,stimulus
0.501504514,BP79_sub-01,sub-01,29,correct,stimulus
0,BP79_sub-01,sub-01,30,wrong,stimulus
0,BP79_sub-01,sub-01,31,correct,stimulus
0,BP79_sub-01,sub-01,32,correct,stimulus
0,BP79_sub-01,sub-01,33,correct,stimulus
0,BP79_sub-01,sub-01,34,correct,stimulus
0,BP79_sub-01,sub-01,35,correct,stimulus
0,BP79_sub-01,sub-01,36,correct,stimulus
1,BP83_sub-01,sub-01,1,wrong,stimulus
0,BP83_sub-01,sub-01,2,correct,stimulus
0,BP83_sub-01,sub-01,3,wrong,stimulus
0,BP83_sub-01,sub-01,4,wrong,stimulus
0.467071462,BP83_sub-01,sub-01,5,wrong,stimulus
