ACC,subject,trialType,session
1,sub-01,memory,before
0,sub-01,inference,before
0,sub-01,memory,before
1,sub-01,memory,before
0,sub-01,memory,before
1,sub-01,memory,before
1,sub-01,memory,before
1,sub-01,inference,before
1,sub-01,inference,before
1,sub-01,memory,before
0,sub-01,memory,before
1,sub-01,inference,before
0,sub-01,inference,before
1,sub-01,inference,before
0,sub-01,memory,before
1,sub-02,memory,before
1,sub-02,memory,before
1,sub-02,memory,before
1,sub-02,memory,before
0,sub-02,inference,before
1,sub-02,inference,before
1,sub-02,inference,before
1,sub-02,memory,before
1,sub-02,inference,before
1,sub-02,memory,before
1,sub-02,inference,before
1,sub-02,inference,before
1,sub-02,memory,before
0,sub-02,memory,before
1,sub-02,memory,before
1,sub-03,inference,before
0,sub-03,memory,before
1,sub-03,memory,before
1,sub-03,memory,before
1,sub-03,inference,before
0,sub-03,memory,before
1,sub-03,inference,before
1,sub-03,memory,before
1,sub-03,inference,before
1,sub-03,memory,before
1,sub-03,memory,before
1,sub-03,inference,before
1,sub-03,inference,before
1,sub-03,memory,before
1,sub-03,memory,before
1,sub-05,inference,before
1,sub-05,memory,before
1,sub-05,memory,before
1,sub-05,memory,before
1,sub-05,inference,before
1,sub-05,memory,before
1,sub-05,memory,before
1,sub-05,memory,before
1,sub-05,inference,before
1,sub-05,inference,before
1,sub-05,inference,before
1,sub-05,memory,before
1,sub-05,memory,before
1,sub-05,memory,before
1,sub-05,inference,before
1,sub-06,memory,before
0,sub-06,memory,before
1,sub-06,inference,before
1,sub-06,memory,before
1,sub-06,inference,before
1,sub-06,inference,before
0,sub-06,memory,before
1,sub-06,memory,before
1,sub-06,memory,before
1,sub-06,inference,before
1,sub-06,inference,before
1,sub-06,memory,before
1,sub-06,memory,before
0,sub-06,memory,before
1,sub-06,inference,before
1,sub-07,memory,before
1,sub-07,memory,before
1,sub-07,inference,before
1,sub-07,memory,before
0,sub-07,inference,before
1,sub-07,memory,before
0,sub-07,inference,before
1,sub-07,inference,before
1,sub-07,memory,before
0,sub-07,memory,before
1,sub-07,memory,before
1,sub-07,memory,before
1,sub-07,inference,before
1,sub-07,inference,before
1,sub-07,memory,before
1,sub-09,memory,before
1,sub-09,inference,before
1,sub-09,inference,before
1,sub-09,memory,before
1,sub-09,inference,before
1,sub-09,memory,before
1,sub-09,memory,before
1,sub-09,inference,before
0,sub-09,inference,before
1,sub-09,inference,before
1,sub-09,memory,before
1,sub-09,memory,before
1,sub-09,memory,before
1,sub-09,memory,before
1,sub-09,memory,before
1,sub-10,memory,before
1,sub-10,memory,before
1,sub-10,inference,before
1,sub-10,memory,before
1,sub-10,memory,before
1,sub-10,inference,before
1,sub-10,memory,before
1,sub-10,memory,before
1,sub-10,inference,before
1,sub-10,memory,before
1,sub-10,memory,before
1,sub-10,inference,before
1,sub-10,memory,before
1,sub-10,inference,before
1,sub-10,inference,before
1,sub-11,memory,before
1,sub-11,memory,before
1,sub-11,memory,before
1,sub-11,inference,before
1,sub-11,memory,before
1,sub-11,inference,before
1,sub-11,memory,before
1,sub-11,inference,before
1,sub-11,memory,before
1,sub-11,memory,before
1,sub-11,memory,before
1,sub-11,inference,before
1,sub-11,inference,before
1,sub-11,inference,before
1,sub-11,memory,before
1,sub-12,memory,before
1,sub-12,memory,before
1,sub-12,inference,before
1,sub-12,inference,before
1,sub-12,inference,before
1,sub-12,memory,before
1,sub-12,memory,before
1,sub-12,inference,before
1,sub-12,memory,before
1,sub-12,memory,before
1,sub-12,inference,before
1,sub-12,memory,before
1,sub-12,memory,before
1,sub-12,memory,before
1,sub-12,inference,before
1,sub-13,memory,before
1,sub-13,memory,before
1,sub-13,inference,before
1,sub-13,memory,before
1,sub-13,inference,before
1,sub-13,inference,before
1,sub-13,memory,before
1,sub-13,memory,before
1,sub-13,inference,before
1,sub-13,inference,before
1,sub-13,memory,before
1,sub-13,memory,before
1,sub-13,memory,before
1,sub-13,inference,before
1,sub-13,memory,before
1,sub-14,memory,before
1,sub-14,inference,before
1,sub-14,inference,before
1,sub-14,memory,before
1,sub-14,memory,before
1,sub-14,inference,before
1,sub-14,memory,before
1,sub-14,memory,before
1,sub-14,inference,before
1,sub-14,memory,before
1,sub-14,memory,before
1,sub-14,inference,before
1,sub-14,memory,before
1,sub-14,inference,before
1,sub-14,memory,before
1,sub-15,memory,before
1,sub-15,memory,before
1,sub-15,inference,before
1,sub-15,memory,before
1,sub-15,memory,before
1,sub-15,memory,before
1,sub-15,inference,before
